# Time-averaged data for fix msd_out
# TimeStep c_msd_co2[1] c_msd_co2[2] c_msd_co2[3] c_msd_co2[4]
26500 1.5088 0.987718 0.20715 2.70367
26600 1.51399 1.03961 0.215331 2.76892
26700 1.51017 0.995578 0.218347 2.7241
26800 1.56603 0.995282 0.248961 2.81027
26900 1.57152 0.967902 0.245832 2.78526
27000 1.47441 0.900496 0.240053 2.61496
27100 1.39789 0.912517 0.253131 2.56354
27200 1.29026 0.918892 0.253193 2.46234
27300 1.15281 0.830616 0.227209 2.21063
27400 1.08839 0.734745 0.218364 2.0415
27500 1.03027 0.692838 0.22927 1.95238
27600 0.91344 0.659974 0.243951 1.81736
27700 0.857455 0.670377 0.240824 1.76866
27800 0.862642 0.700944 0.236663 1.80025
27900 0.909751 0.668529 0.22866 1.80694
28000 0.955012 0.6249 0.216074 1.79599
28100 1.01238 0.663251 0.203622 1.87925
28200 1.00219 0.704077 0.217746 1.92402
28300 0.963467 0.702617 0.223668 1.88975
28400 0.984464 0.712165 0.242596 1.93923
28500 1.00499 0.770625 0.267715 2.04333
28600 0.977703 0.777332 0.269587 2.02462
28700 1.00767 0.791435 0.274853 2.07396
28800 1.07868 0.82447 0.289326 2.19248
28900 1.10183 0.807732 0.27636 2.18592
29000 1.11836 0.805781 0.266475 2.19061
29100 1.17164 0.864231 0.283182 2.31906
29200 1.20317 0.829538 0.324565 2.35727
29300 1.21049 0.812444 0.309623 2.33256
29400 1.22214 0.808602 0.26363 2.29437
29500 1.24635 0.794944 0.263029 2.30433
29600 1.26573 0.794334 0.278878 2.33894
29700 1.31889 0.829874 0.267072 2.41583
29800 1.34771 0.83162 0.261083 2.44041
29900 1.3489 0.889682 0.238551 2.47714
30000 1.38454 0.931435 0.225587 2.54156
30100 1.44783 0.953128 0.237798 2.63876
30200 1.51803 0.945367 0.25356 2.71696
30300 1.61245 0.933816 0.266152 2.81242
30400 1.6926 0.940075 0.28086 2.91353
30500 1.71914 0.979035 0.247297 2.94547
30600 1.67224 0.995775 0.217089 2.8851
30700 1.65728 0.97913 0.223592 2.86
30800 1.63747 0.941593 0.23445 2.81352
30900 1.56746 0.929689 0.202452 2.6996
31000 1.48838 0.935251 0.171015 2.59464
31100 1.44779 0.922553 0.178767 2.54911
31200 1.40241 0.889082 0.20664 2.49813
31300 1.34808 0.852624 0.233789 2.4345
31400 1.3377 0.83281 0.238739 2.40925
31500 1.36571 0.809063 0.230202 2.40497
31600 1.36797 0.791174 0.231964 2.39111
31700 1.38715 0.784243 0.260695 2.43208
31800 1.35795 0.838408 0.270382 2.46674
31900 1.31936 0.868336 0.275084 2.46278
32000 1.34299 0.78593 0.278985 2.4079
32100 1.38155 0.729265 0.267509 2.37833
32200 1.34036 0.752983 0.262804 2.35614
32300 1.29974 0.759979 0.279186 2.3389
32400 1.2895 0.736835 0.281574 2.30791
32500 1.2929 0.755853 0.277958 2.32672
32600 1.31399 0.722555 0.308114 2.34466
32700 1.37547 0.6795 0.303207 2.35818
32800 1.38498 0.661254 0.236021 2.28226
32900 1.33428 0.641587 0.215325 2.1912
33000 1.2591 0.64333 0.244431 2.14686
33100 1.16322 0.680896 0.248264 2.09238
33200 1.05624 0.668033 0.220813 1.94509
33300 1.02961 0.645256 0.229072 1.90394
33400 1.08311 0.641022 0.26395 1.98808
33500 1.10957 0.611423 0.298281 2.01927
33600 1.07697 0.642406 0.310003 2.02938
33700 1.06047 0.721473 0.300763 2.08271
33800 1.12223 0.751742 0.286009 2.15998
33900 1.18848 0.726181 0.247421 2.16208
34000 1.24213 0.719918 0.193471 2.15551
34100 1.27696 0.725897 0.193482 2.19634
34200 1.24108 0.772162 0.242242 2.25549
34300 1.16088 0.820705 0.241099 2.22268
34400 1.15885 0.815003 0.252058 2.22591
34500 1.18656 0.759042 0.272831 2.21843
34600 1.19858 0.720838 0.245276 2.1647
34700 1.18244 0.659635 0.222747 2.06482
34800 1.13229 0.650569 0.217044 1.9999
34900 1.03436 0.710687 0.211798 1.95684
35000 0.989335 0.715783 0.242316 1.94743
35100 0.978128 0.653861 0.250931 1.88292
35200 1.00387 0.641201 0.233048 1.87812
35300 1.03751 0.616642 0.228783 1.88294
35400 1.03761 0.607811 0.249073 1.89449
35500 1.00683 0.661058 0.248823 1.91671
35600 0.981661 0.69757 0.242568 1.9218
35700 0.974922 0.67486 0.249571 1.89935
35800 1.02684 0.671799 0.247149 1.94578
35900 1.09358 0.640644 0.246555 1.98078
36000 1.12454 0.639542 0.26093 2.02501
36100 1.08531 0.697352 0.294672 2.07733
36200 1.06023 0.809237 0.305333 2.1748
36300 1.10599 0.842591 0.294891 2.24347
36400 1.22909 0.841041 0.302231 2.37236
36500 1.32815 0.814397 0.315083 2.45763
36600 1.35315 0.847837 0.313577 2.51456
36700 1.32605 0.841432 0.292803 2.46028
36800 1.24324 0.837769 0.2824 2.3634
36900 1.15461 0.802931 0.283744 2.24129
37000 1.10272 0.748601 0.283153 2.13448
37100 1.06422 0.668217 0.298681 2.03112
37200 1.00607 0.694016 0.295314 1.9954
37300 0.972454 0.718214 0.274238 1.96491
37400 0.953254 0.718536 0.26462 1.93641
37500 0.963036 0.707643 0.240842 1.91152
37600 0.975019 0.706047 0.236471 1.91754
37700 0.998209 0.675073 0.27087 1.94415
37800 1.04449 0.699968 0.257458 2.00192
37900 1.08156 0.69623 0.21286 1.99065
38000 1.07131 0.715324 0.209854 1.99649
38100 1.06226 0.72156 0.236751 2.02057
38200 1.04147 0.705283 0.247322 1.99408
38300 1.01902 0.682436 0.24537 1.94682
38400 0.999202 0.700926 0.221975 1.9221
38500 1.00137 0.673755 0.194583 1.8697
38600 0.987667 0.694481 0.176171 1.85832
38700 0.970277 0.721837 0.172169 1.86428
38800 0.987527 0.698908 0.195256 1.88169
38900 1.02815 0.690681 0.208914 1.92775
39000 1.03554 0.732867 0.199653 1.96806
39100 1.03323 0.74861 0.164155 1.946
39200 1.04755 0.774885 0.143936 1.96638
39300 1.09621 0.776995 0.168397 2.0416
39400 1.12697 0.752956 0.208807 2.08873
39500 1.16294 0.755201 0.188394 2.10654
39600 1.18466 0.77305 0.182717 2.14043
39700 1.1892 0.756431 0.211422 2.15706
39800 1.19669 0.766816 0.213785 2.17729
39900 1.18419 0.749874 0.2224 2.15647
40000 1.13887 0.670311 0.262337 2.07152
40100 1.10161 0.628816 0.271693 2.00212
40200 1.05404 0.633146 0.276486 1.96367
40300 0.982164 0.59254 0.294712 1.86942
40400 0.953369 0.548468 0.299993 1.80183
40500 0.940344 0.546764 0.329507 1.81661
40600 0.918787 0.529483 0.322448 1.77072
40700 0.891364 0.520203 0.276348 1.68792
40800 0.894869 0.528847 0.255432 1.67915
40900 0.896156 0.538079 0.231502 1.66574
41000 0.886479 0.5405 0.200634 1.62761
41100 0.88613 0.560423 0.207872 1.65443
41200 0.910972 0.546537 0.234153 1.69166
41300 0.897462 0.574933 0.239283 1.71168
41400 0.901929 0.584322 0.219335 1.70559
41500 0.954496 0.560845 0.23141 1.74675
41600 1.00954 0.559336 0.230363 1.79924
41700 1.01386 0.571125 0.243677 1.82866
41800 1.02842 0.585591 0.241875 1.85589
41900 1.02876 0.622192 0.241605 1.89256
42000 1.0455 0.621696 0.252619 1.91982
42100 1.08929 0.593069 0.270434 1.95279
42200 1.11512 0.590547 0.265707 1.97137
